cevxzj,CRIM,0.00632
cevxzj,ZN,18.00
cevxzj,INDUS,2.310
cevxzj,CHAS,0
cevxzj,NOX,0.5380
cevxzj,RM,6.5750
cevxzj,AGE,65.20
cevxzj,DIS,4.0900
cevxzj,RAD,1
cevxzj,TAX,296.0
cevxzj,PTRATIO,15.30
cevxzj,B,396.90
cevxzj,LSTAT,4.98
zhxopu,CRIM,0.02731
zhxopu,ZN,0.00
zhxopu,INDUS,7.070
zhxopu,CHAS,0
zhxopu,NOX,0.4690
zhxopu,RM,6.4210
zhxopu,AGE,78.90
zhxopu,DIS,4.9671
zhxopu,RAD,2
zhxopu,TAX,242.0
zhxopu,PTRATIO,17.80
zhxopu,B,396.90
zhxopu,LSTAT,9.14
mmyrmr,CRIM,0.02729
mmyrmr,ZN,0.00
mmyrmr,INDUS,7.070
mmyrmr,CHAS,0
mmyrmr,NOX,0.4690
mmyrmr,RM,7.1850
mmyrmr,AGE,61.10
mmyrmr,DIS,4.9671
mmyrmr,RAD,2
mmyrmr,TAX,242.0
mmyrmr,PTRATIO,17.80
mmyrmr,B,392.83
mmyrmr,LSTAT,4.03
vrujof,CRIM,0.03237
vrujof,ZN,0.00
vrujof,INDUS,2.180
vrujof,CHAS,0
vrujof,NOX,0.4580
vrujof,RM,6.9980
vrujof,AGE,45.80
vrujof,DIS,6.0622
vrujof,RAD,3
vrujof,TAX,222.0
vrujof,PTRATIO,18.70
vrujof,B,394.63
vrujof,LSTAT,2.94
hyptut,CRIM,0.06905
hyptut,ZN,0.00
hyptut,INDUS,2.180
hyptut,CHAS,0
hyptut,NOX,0.4580
hyptut,RM,7.1470
hyptut,AGE,54.20
hyptut,DIS,6.0622
hyptut,RAD,3
hyptut,TAX,222.0
hyptut,PTRATIO,18.70
hyptut,B,396.90
hyptut,LSTAT,5.33
bwvvtn,CRIM,0.02985
bwvvtn,ZN,0.00
bwvvtn,INDUS,2.180
bwvvtn,CHAS,0
bwvvtn,NOX,0.4580
bwvvtn,RM,6.4300
bwvvtn,AGE,58.70
bwvvtn,DIS,6.0622
bwvvtn,RAD,3
bwvvtn,TAX,222.0
bwvvtn,PTRATIO,18.70
bwvvtn,B,394.12
bwvvtn,LSTAT,5.21
wsfesq,CRIM,0.08829
wsfesq,ZN,12.50
wsfesq,INDUS,7.870
wsfesq,CHAS,0
wsfesq,NOX,0.5240
wsfesq,RM,6.0120
